ENTRY,DELTAG,UNCERTAINTY,REASON ENERGY COULD NOT BE ESTIMATED
R00001,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00683,-10.46,2.36612,
R00684,0,2,
R00685,-3.09,0.5417,
R00686,-8.243,0.748021,
R00687,-11.71,0.770588,
R00688,8.687,1.31216,
R00689,-23.0227,1.06194,
R00690,-109.257,1.04269,
R00691,-29.067,1.65133,
R00692,0,2,
R00693,-5.294,1.25997,
R00694,0,2,
R00695,0,2,
R00697,-0.19,0.887102,
R00698,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00699,-3.09,0.5417,
R00700,-8.4665,1.15933,
R00702,-17.8,1.81887,
R00703,6.22,1.09509,
R00704,6.22,1.09509,
R00705,-8.946,1.61184,
R00706,-8.946,1.61184,
R00707,4.254,1.68239,
R00708,4.254,1.68239,
R00709,3.13,1.24076,
R00710,-11.993,1.35796,
R00711,-11.993,1.35796,
R00713,-9.803,1.17612,
R00714,-9.803,1.17612,
R00715,9.207,1.51055,
R00716,9.207,1.51055,
R00717,7.68,1.08537,
R00718,Not calculated,Not calculated,Involves unknown structures
R00719,-6.817,0.717554,
R00720,-8.243,0.748021,
R00722,0,2,
R00723,-6.817,0.717554,
R00724,4.61,0.654305,
R00725,-4.5,0.23673,
R00726,-0.29,0.82841,
R00727,-1.06,1.21342,
R00728,5.657,0.874892,
R00729,-23.0227,1.06194,
R00730,-90.6267,1.38332,
R00731,Not calculated,Not calculated,Charge imbalanced
R00732,-16.12,2.0867,
R00733,-16.12,2.0867,
R00734,0,2,
R00735,-7.78,0.882611,
R00736,-3.09,0.5417,
R00737,-0.19,0.887102,
R00739,0,2,
R00740,-4.046,1.52188,
R00742,-1.074,0.739456,
R00743,-1.54,0.523643,
R00744,118.577,1.27799,
R00746,5.78,1.26256,
R00747,-4.907,0.989042,
R00748,-10.177,1.0462,
R00749,-7.86,0.764936,
R00750,-1.4,0.544971,
R00751,3.21,0.615712,
R00753,5.87,0.750658,
R00754,5.78,1.26256,
R00755,-3.43,0.719763,
R00756,-4.5,0.23673,
R00758,2.01,1.70129,
R00760,-4.5,0.23673,
R00761,-10.783,1.47331,
R00762,-2.317,0.735634,
R00763,-2.317,0.735634,
R00764,-3.074,0.735634,
R00765,1.577,0.961782,
R00766,-1.7,0.632032,
R00767,-4.5,0.23673,
R00768,-6.3,0.836906,
R00769,-4.5,0.23673,
R00770,-4.5,0.23673,
R00771,-0.89,0.608878,
R00772,-0.89,0.608878,
R00774,-2.104,1.29182,
R00775,-3.903,1.68444,
R00776,4.24,1.11412,
R00777,-3.903,1.68444,
R00778,3.553,4.98273,
R00781,-82.9127,1,
R00782,1.761,1.14096,
R00783,Not calculated,Not calculated,Involves unknown structures
R00784,Not calculated,Not calculated,Involves unknown structures
R00785,Not calculated,Not calculated,Involves unknown structures
R00787,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00789,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00790,Not calculated,Not calculated,Involves unknown structures
R00791,Not calculated,Not calculated,Involves unknown structures
R00792,Not calculated,Not calculated,Involves unknown structures
R00793,40.1413,1.17696,
R00794,34.717,1.35796,
R00796,34.717,1.35796,
R00798,Not calculated,Not calculated,Involves unknown structures
R00799,Not calculated,Not calculated,Involves groups with unknown energies
R00800,Not calculated,Not calculated,Charge imbalanced
R00801,-3.113,0.692797,
R00802,-3.113,0.692797,
R00803,-0.796,0.676477,
R00804,Not calculated,Not calculated,Involves unknown structures
R00805,-2.317,0.735634,
R00806,-1.7,0.632032,
R00807,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R00808,Not calculated,Not calculated,Involves unknown structures
R00809,-1.7,0.632032,
R00810,0,2,
R00811,-13.89,0.947877,
R00812,-9.34,2.05697,
R00813,-11.3,2.12835,
R00814,-9.34,2.05697,
R00815,-95.8267,1.31456,
R00816,-72.8897,1.45185,
R00817,-96.5197,1.55572,
R00818,-95.9267,1.38919,
R00819,Not calculated,Not calculated,Charge imbalanced
R00820,-11.3,2.12835,
R00821,-0.1,0.661856,
R00822,-0.1,0.661856,
R00823,-92.2197,1.44466,
R00825,-92.2197,1.44466,
R00827,-4.36,2.22091,
